index,tweet,humor,prejudice_woman,prejudice_lgbtiq,prejudice_inmigrant_race,gordofobia,mean_prejudice,backtranslated
73686,"-Mi amor, ¿me veo gorda con este vestido rosa? - ¡LA PUTA MADREEE! MAJIN BOO ESTÁ VIVO... GOKU SALVAMEEEEEEE",1,0,0,0,1,3.6,"-Mi amor, ¿me veo gorda con este vestido rosa? - ¡El hijo de puta! Majin Boo está vivo ... Goku Salvameeeeeee"
67716,Era una mujer tan gorda pero tan gorda que cuando se pesaba la balanza marcaba: Continuará...,1,0,0,0,1,3.6,"Era una mujer tan gorda pero tan gorda que cuando se pesara el equilibrio, continuará ..."
67575,- Que somos?  - GORDAS!!  - Que queremos?  - LA LUCHA CONTRA LA DISCRIMINACION!  - Cuando lo queremos?  - Cuando terminemos de comer esta pi,1,0,0,0,1,3.8,- ¿Que somos? - Gordas !! - ¿Lo que nosotros queremos? - ¡La lucha contra la discriminación! - ¿Cuándo lo queremos? - Cuando terminamos de comer este pi
63530,"Salgo a correr todos los días y cada vez me entra menos ropa. Creo que el jugo que tomo para bajar la hamburguesa al volver, no va.",1,0,0,0,1,3.2,"Voy a correr todos los días y cada vez entra menos ropa. Creo que el jugo que tomo para bajar la hamburguesa al regresar, no va."
64212,"—Mi nieto es víctima del bullying.

—¿Cuál es su nieto?

—El puto hipopótamo que esta allá.",1,0,0,0,1,4.0,"""Mi nieto es víctima de la intimidación"".

""¿Cuál es tu nieto?""

""El maldito hipopótamo que está ahí""."
64609,"Ya le hable al camionsito que baña a los perros, para que bañe y despulgue a ese perro culazo que te cargas.",1,0,0,0,1,1.4,"Ya hablo con el camconsito que baña a los perros, de modo que se bañe y asalte a ese perro Culazo que cargas."
63253,"- Amor, este vestido hace que me vea gorda? - Amor, esta corbata hace que me vea calvo? - Pero si estas calvo. - EXACTO!!!!",1,0,0,0,1,3.0,"- Amor, ¿este vestido me pone gordo? - Amor, ¿esta corbata hace que Calvo me vea? - Pero estás calvo. - ¡¡¡¡EXACTO!!!!"
64981,"—Tú, gorda. Un café
—Oiga respete. ¿Si usted fuera mesero y yo lo insultara?
—Póngame a prueba
—Tú, idiota. Café
—Aquí no atendemos gordas.",1,0,0,0,1,4.0,"""Estás gordo."" Un café
""Hola respeto"". ¿Si eras camarero y lo insulté?
""Anímame.""
-Idiota. Café
""No atendemos a la grasa""."
65031,"No sos vos, es el gym que no supo sacar eso que crees ser.",1,0,0,0,1,1.8,"No eres tú, es el gimnasio que no puedo obtener lo que crees que eres."
63059,"-¿Qué me recomiendas hacer?
-Que le des a las series.
-¿De acción, drama o romántica?
-Series de 50 abdominales, gorda.",1,0,0,0,1,3.6,"-¿Qué recomiendas a hacer?
-¿Qué dar la serie.
-Ef Action, Drama o Romantic?
-Serie de 50 abdominales, grasa."
22975,En la séptima habrá una gorda modelo de la que el más guapo del cole se enamorará. Cero dudas.,1,0,0,0,1,3.0,En la séptima habrá un modelo gordo del cual la escuela más guapa se enamorará. Cero dudas.
44860,"doctor, aumenté 30k.""
""Vamos a ver... abra la boca y diga muuu...HASHTAG  ",1,0,0,0,1,3.4,"Doctor, aumenté 30k. ""
""Veamos ... Abra la boca y digamos la suela ... Hashtag"
62755,"Los leggins son como la energía nuclear, según quien los posean puede ser maravilloso para el planeta o una catástrofe para la humanidad.",1,0,0,0,1,3.2,"Las leggins son como la energía nuclear, según aquellos que los poseen, puede ser maravilloso para el planeta o una catástrofe para la humanidad."
65226,"No todo lo qe brilla es oro, como por ejemplo... tu cara grasosa  XD  ",1,0,0,0,1,2.8,"No todo lo que brilla es oro, como ... tu cara grasa XD"
65545,"-Madurar es entender que en el amor importa más el interior.
-Te cogiste a la gordita, ¿verdad? 
-Juro que no vuelvo a tomar.",1,0,0,0,1,4.4,"-Madura es comprender que en el amor es más importante el interior.
-Enteas al gordito, ¿verdad?
-No tomo de nuevo."
65719,"—Doctor, últimamente me veo feo y gordo. ¿Qué tengo? —Razón y obesidad.",1,0,0,0,1,3.2,"""Docker, últimamente me veo feo y gordo"". ¿Eso tengo? ""Raro y obesidad""."
56869,Primero Javier Duarte y ahora Luis Miguel. Si están arrestado por ser gordos ya estuvo que mejor mañana me entrego. 😭,1,0,0,0,1,2.2,"Primero Javier Duarte y ahora Luis Miguel. Si son arrestados por ser goros, ya estaba mejor mañana. 😭"
45272,"Mamá, ¡en la escuela me dicen gorda! 
–Pobresilla 
-Ayyy, gracias mamá 
-Pobre silla en la que estás sentada.  x D   HASHTAG    RT  ",1,0,0,0,1,3.8,"Mamá, en la escuela me dicen gordo!
–Pobresilla
-Ayyy, gracias mamá
-La silla de porte en la que estás sentado. x d hashtag rt"
67638,"- No te gustaria volver a los 60?  - No, no los conocí, yo nací en los 90's.  - Me refiero a los kilos, gorda HDP.",1,0,0,0,1,3.4,"- ¿No volverías a 60? - No, no los conocía, nací en los 90. - Me refiero a los kilos, Gorda HDP."
63479,"Hoy quebre una silla de plástico cuando me senté, es obvio que no aguanto el peso del éxito 😎",1,0,0,0,1,1.4,"Hoy una silla de plástico cuando me senté, es obvio que no puedo tomar el peso del éxito 😎"
75940,-Tu prima Selena está bien gorda. -¿Se le nota? -Selenotototota diría yo.,1,0,0,0,1,3.4,-Un Salena es muy gorda. -¿Usted nota? -NoTototota diría.
77139,"— Hija estas tan gorda que podrías rodar… 

— ¡Abuelo, que grosero! mejor me voy… 

(._.) (|:) (.-.) (:|) (._.) (|:) (.-.) (|:)",1,0,0,0,1,3.6,"- Eres tan gorda que podrías rodar ...

- Abuelo, ¡qué grosero! Mejor me voy…

(._.) (| :) (.-.) (:: |) (._.) (| :) (.-.) (| :)"
34682,Engorda un poco más que todavía te quiero.,1,0,0,0,1,3.6,Cae un poco más de lo que todavía te amo.
17304,"Yo lo que quiero en la vida es la despreocupación de las gorditas felices para comer cosas que engordan y no tener remordimiento en serio es que ojalá,que seres más afortunados",1,0,0,0,1,2.6,"Lo que quiero en la vida es la falta de preocupación del feliz gordito para comer cosas que engordan y no tener un remordimiento serio es que con suerte, seres más afortunados."
41969," First Dates 29 o  
Me he subido al Roomba ese para que me llevase a la cocina y me ha dicho, bájate gorda.. URL",1,0,0,0,1,3.4," Primeras fechas 29 o
He llegado a eso para llevarme a la cocina y él me dijo, baja la grasa ... URL"
19430,"Abriendo las puertas

Entra una señora gruesa en el metro un chico le comenta a otro: ?has visto que gorda, parece un armario! la señora que lo ha oido, le da una bofetada diciendole: perdona, es que se me ha abierto la puerta

HASHTAG    varios  ",1,0,0,0,1,3.0,"Abriendo las puertas

Una dama gruesa entra en el metro, un niño le dice a otro: ""¡Has visto que Gorda parece un armario! La señora que lo ha escuchado, le da una bofetada que le dice: Perdón, es que la puerta me ha abierto

Hashtag varios"
26615,"Si una marmota gorda predice 6 semanas más de invierno, pues ya está. Lo dijo la marmota.",1,0,0,0,1,1.8,"Si una marmota gorda predice 6 semanas más de invierno, entonces eso es todo. Marmota lo dijo."
19804,"- Un aplauso para el asador
- Callate gordo... estamos en la incineración de mamá!

HASHTAG   HASHTAG  ",1,0,0,0,1,2.6,"- Aplausos para la parrilla
- Cállate grasa ... ¡estamos en la incineración de mamá!

Hashtag hashtag"
60909,"—Ayer saliendo del antro me chingué dos gringas.
—¿Hiciste un trío?
—No, dos gringas al pastor.
—Pinche gordo por eso no coges.",1,0,0,0,1,2.4,"""Aire, dejando el club, me jodo dos gringas"".
""¿Conseguiste un trío?""
""No, dos gringas al pastor"".
""Gordo gordo para que no tomes""."
79840,"La vida es como una caja de bombones, no dura mucho para los gordos.",1,0,0,0,1,3.8,"La vida es como una caja de chocolates, no dura mucho para la grasa."
79822,me da vergüenza comer en frente de la gente pero también me da vergüenza no comer xq seguro piensan bue jaja y esta gorda q se hace la light 🤣🤣🤣,1,0,0,0,1,2.6,estoy avergonzado
79818,estas tan gordo que cuando pasas por delante de la tele me pierdo los anuncios de antena3,1,0,0,0,1,3.6,Estás tan gordo que cuando pasas frente a la televisión extraño los anuncios antena3
79817,"Eres taaaan gorda, ten gordaa, q cuando te sacaste el carne de conducir, en vez de una L, te dieron una XL!",1,0,0,0,1,3.8,"Eres gordo, gordo, grasa, cuando tienes la carne conductora, en lugar de una L, ¡te dieron un XL!"
8511,Engordarás por culpa del cambio climático y serás feliz. URL,1,0,0,0,1,1.4,Gana debido al cambio climático y estarás feliz. Url
41863,"- Amor, estoy gorda?
- Gorda me pones esssta, tanto que si la mando a la escuela en Tupungato, le hacen bullying
 Noticias De Actualidad  ",1,0,0,0,1,3.2,"- Amor, ¿estoy gordo?
- Gorda me pusiste esssta, tanto que si la envío a la escuela en Tupungato, hacen intimidación
 Noticias"
38042,El casting de élite; tu gorda a anunciar embutidos!,1,0,0,0,1,4.0,Casting de élite; ¡Tu hombre gordo anunciará salchichas!
62017,"_ Señora directora, mi hijo es víctima de bullying!!
- Cuál es su hijo?
_ El gordo pajero ese que está ahí",1,0,0,0,1,3.2,"_ Lady Directora, mi hijo es víctima de la intimidación !!
- ¿Qué es tu hijo?
_ La grasa se desvía la que está ahí"
37403,"Soy el vivo ejemplo del dicho ese que dice ""Lo que no mata engorda!"".",1,0,0,0,1,2.2,"Soy el ejemplo vivo del dicho que dice ""¡qué no mata el engorde!"""
75966,"- ¿¿Cuál es el colmo de una mujer muy gorda?? - Que se vista de amarillo y la gente le diga ¡¡¡taxii, taxiii!!!",1,0,0,0,1,4.2,"- ¿Cuál es la altura de una mujer muy gorda? - que te ves amarillo y la gente te dice ¡Taxii, Taxiii!"
63461,Me ven en bikini y me llevan a mundo marino.,1,0,0,0,1,3.4,Me ven en bikini y me llevan al mundo marino.
49421,—¡Que gorda estás! —Tu envidia alimenta mi ego —No jodas. Hasta eso te comes!,1,0,0,0,1,3.8,"""¡Usted es gordo!"" ""Envidias mi ego"", no follas. ""¡Incluso que comes!"
77347,"-¡Pasen y vean al LEÓN MARINO!
-Paco, que es mi madre nadando en la piscina
-Ya llevo 500€ 
-!PASEN Y VEAN! señoras y señores,¡PASEN Y VEAN!",1,0,0,0,1,4.0,"-Pasit y mira el león marino!
-Paco, ¿quién es mi madre nadando en la piscina?
-Me llevado € 500
-! ¡Pasa y mira! Damas y caballeros, pasan y miren!"
78142,"Era un hombre tan gordo, pero tan gordo, que se tumbaba en la cama y se caía por los dos lados.",1,0,0,0,1,3.6,"Era un hombre tan gordo, pero tan gordo, que yacía en la cama y cayó en ambos lados."
78381,"—Disculpe señorita, no me quedó el vestido, ¿Puedo cambiarlo? ... —Si, y también puede bajar de peso... ¡Maldita gorda!",1,0,0,0,1,4.2,"""Señorita, señorita, no tenía el vestido, ¿puedo cambiarlo?"" ... ""Si, y también puedes perder peso ... ¡Maldita sea Gorda!"""
78628,"Hiba  una gorda en una moto 
- Y yo le grite una vaca!!
- Y ella me dijo tu madre! 
-Y pum choco contra la vaca la pendeja😂😒",1,0,0,0,1,3.4,"Hiba una grasa en una motocicleta
- ¡Y grito una vaca !!
- ¡Y ella me dijo tu madre!
-Y Pum Choco contra la vaca, el gilipollas😂😒"
46884,"Van dos gordas caminando: -Oye, huele a pelo quemado, ¿no? -Bueno, caminemos más despacio...",1,0,0,0,1,3.0,"Hay dos caminatas grasas: -Hey, huele a cabello quemado, ¿verdad? -Ascante, caminemos más lentamente ..."
47551,"—Sr. Director, vengo a reclamar por el bullying que le hacen a mi hija.
—¿Y cual es su hija?
— La gorda fea de quinto",1,0,0,0,1,4.0,"-Señor. Director, vengo a reclamar el acoso hechos a mi hija.
""¿Qué es tu hija?""
- El quinto cuarto"
48145,"—Mi amor, ¿ya se me nota el gimnasio?
—Sí, ¿te lo comiste?",1,0,0,0,1,3.4,"""Mi amor, ¿el gimnasio es aviso?""
""Sí, ¿te lo comiste?"""
47791,"-Me gusta tu disfraz de vaca :) 
-Es de dálmata  
-Ah...",1,0,0,0,1,3.2,"-Me me gusta tu disfraz de vaca :)
-Es dálmata
-Ah ..."
48246,"Chistes, cosquillas, palabras dulces, para sacarle una sonrisa a la gorda no necesitas mucho. Ahora intentá sacarle un sandwich de la mano.",1,0,0,0,1,3.6,"Chistes, cosquillas, dulces palabras, para sonreír a la grasa que no necesitas mucho. Ahora trate de sacar un sándwich de su mano."
48342,_x0097_¿Que somos? _x0097_¡GORDOS! _x0097_¿Que queremos? _x0097_¡Empezar la dieta! _x0097_¿Cuando lo queremos? _x0097_¡EL LUNES! _x0097_Ya es lunes !!!! _x0097_EL PRÓXIMO LUNES !!,1,0,0,0,1,3.0,_x0097_ ¿Qué somos? _X0097_gordos! _x0097_ ¿Qué queremos? _X0097_bell la dieta! _x0097_ ¿Cuándo lo queremos? _X0097_the lunes! _X0097_a es lunes !!!! _X0097_EL ¡El próximo lunes!
53726,"— No soy gordo, soy de huesos anchos.
— Pues deberías ir al doctor, porque el hueso de la papada se te está saliendo.",1,0,0,0,1,3.6,"- No estoy gordo, soy de los huesos anchos.
- Bueno, debes ir al médico, porque el hueso de la puerta de entrada está saliendo."
2439,"- Comencemos la escena. Vamos a rodarla.
- Tampoco estoy tan gorda gilipollas.",1,0,0,0,1,3.2,"- Comencemos la escena. Vamos a rodarlo.
- No soy tan gordo Gilipolas."
59331,"Si mi cuerpo está compuesto en un 70% por agua, entonces no estoy gordo, estoy inundado.",1,0,0,0,1,1.2,"Si mi cuerpo está compuesto por el 70% por agua, entonces no estoy gordo, estoy inundado."
48197,"Ella frente al espejo: -Estoy gorda, senos caídos, fea! Dime algo pa levantar el ánimo! -Bueno, cariño, la vista la tienes clarita!",1,0,0,0,1,2.8,"Ella delante del espejo: -Mo gordo, senos caídos, feo! ¡Dime algo para levantar tu espíritu! -Ascante, cariño, ¡lo miras claro!"
44539,"—Estoy en un curso para dejar de ser tan ofensivo y volverme mejor persona.
—¿Y cómo vas?
—Mejor que tu dieta, pinche gorda.",1,1,0,0,1,2.1,"""Estoy en un curso para dejar de ser tan ofensivo y convertirme en una mejor persona"".
""¿Y cómo vas?""
""Me mejor que tu dieta, haga clic en la grasa."
56691,"Como decía mi abuelo, buscate una flaca y limpia porque gorda y sucia se vuelven solas.",1,1,0,0,1,2.6,"Como dijo mi abuelo, busque un flaco y limpio porque se vuelven goros y sucios."
60704,"—Amor, ¿vamos al gym?
—¿Estás diciéndome gorda?
—Si no quieres no.
—¿Ah soy huevona?
—Calma.
—¿Ah soy histérica?
—Me voy solo.
—PUTO INFIEL.",1,1,0,0,1,2.1,"""Amor, ¿somos gimnasios?""
""¿Me estás diciendo gordo?""
""Si no quieres no"".
""¿Soy huevo?""
-Calma.
""¿Estoy histérico?""
""Me voy solo.""
""Infiel."
58626,"¿Qué es ese polvo que traes en la cara, hija? -Cocaína, mamá -¡A mí NO me engañas! ¡Es polvo de donitas, PINCHE GORDA, deja de tragar!",1,1,0,0,1,2.0,"¿Qué es ese polvo que traes en la cara, hija? -Cocaína, mamá, ¡no me engañas! ¡Es el polvo de Donitas, haga clic en la grasa, deja de tragar!"
58478,"-Mira mamá, esa mujer está demasiado GORDA -No Jaimito, no le digas así... Es una señora con DISCAPACIDAD HORIZONTAL!",1,1,0,0,1,2.8,"-En Mamá, esa mujer es demasiado gorda -Do Jaimito, no le digas que ... ¡ella es una dama con discapacidades horizontales!"
60038,"Una gorda no te mandará a la temida FRIEND ZONE, jamás!!!! 

  Campaña Cógete Una Gorda  ",1,1,0,0,1,3.2,"Una grasa no te enviará a la temida zona de amigos, ¡nunca!

  Campaña toma una grasa"
22487," STRP   HASHTAG   HASHTAG   HASHTAG   MENTION
En que se diferencia una foca de una mujer? 
En que una tiene bigote y grasa y la otra vive en el mar.",1,1,0,0,1,2.4," Strp hashtag hashtag hashtag mención
¿En qué difiere un sello de una mujer?
En el que uno tiene bigote y grasa y el otro vive en el mar."
55937,"—¿Trabajas en el zoo?
—No ¿por qué?
—¿Y esa morsa?
—¡ABUELO DEJA EN PAZ A MI NOVIA!
—¿Hace trucos?
—¡ABUELOO!
—¡QUE APLAUDA, QUE APLAUDA!",1,1,0,0,1,3.2,"""¿Trabajas en el zoológico?""
-¿No porque?
""¿Y esa Morsa?""
""¡Abue con mi novia se va sola!""
""¿Son los trucos?""
""¡Abueloo!""
""¡Lo que aplaude, aplaude!"""
55179,"-Mi amor, ese vestido te hace ver gorda -Mi amor, estoy desnuda...",1,1,0,0,1,2.4,"-Mi amor, ese vestido te hace ver gordo -Mi amor, estoy desnudo ..."
55050,"—¡Abuelo! Todos me dicen gorda.
—No hagas caso, ¿Tienes tarea?
—Sí.
—Pues no dejes para Marrana lo que puedes hacer oink.
—¡ABUELOO!
—JAJAJÁ",1,1,0,0,1,2.2,"-¡Abuelo! Todos me dicen gordo.
""No escuches, tienes una tarea?""
-Sí.
""No te vayas a Marrana lo que puedes hacer oink"".
""¡Abueloo!""
-JAJAJA"
54780,"no se vale decir que sos nalgona, cuando estas gorda :v guau",1,1,0,0,1,24.000.000.000.000.000,"No vale la pena decir que eres nalga, cuando estás gordo: v wow"
54355,"¿Abuelo me veo gorda? —No, tienes el cuerpo de una chica porno. —¿Verdad?, que lindo abuelito —Sí, Pornoparardecomer ¡GORDA! JAJAJÁ  —Ay:'(",1,1,0,0,1,3.3,"¿El abuelo se ve gorda? ""No, tienes el cuerpo de una chica porno"". ""¿Verdad? Qué buen abuelo"". Sí, pornparardecomer Gorda! Jajaja —Ay: '("
54298,"—Hijo, ¿Eres futbolista? —No, mamá ¿Por qué? —¿Y ESA PELOTA? —JAJAJA ¡YA MAMÁ, DEJA EN PAZ A MI NOVIA!",1,1,0,0,1,2.5,"""Hijo, ¿eres futbolista?"" ""No, mamá, ¿por qué?"" ""¿Y esa pelota?"" ""¡Jajaja y mamá, dejan a mi novia en paz!"""
54176,"Lo malo: Es gorda
Lo peor: Usa leggins blancos
Lo horrible: Usa tangas negras.",1,1,0,0,1,2.5,"Lo malo: es gordo
Lo peor: usa leggins blancos
Lo horrible: usa tangas negras."
54088,Mi vecina es tan gorda que primero llena la bañera y después abre el agua by MENTION  fb,1,1,0,0,1,2.5,Mi vecino es tan gordo que primero llena la bañera y luego abre el agua por mención FB
1890,"Los borrachos cumplen una función importantísima en la sociedad, sin ellos, las gordas y las feas morirían vírgenes.

Eso debería estar plasmado en la Constitución 😌",1,1,0,0,1,3.9,"Los borrachos cumplen una función muy importante en la sociedad, sin ellos, la grasa y fea morirían vírgenes.

Que debe incorporarse en la Constitución 😌"
40551," STRP   HASHTAG   HASHTAG   HASHTAG   MENTION MENTION
Tener tetas porque estas gorda es como decir que yo la tengo grande porque ella tiene 5 años.",1,1,0,0,1,2.6," Strp hashtag hashtag hashtag mención
Tener tetas porque eres gordo es como decir que lo tengo grande porque tiene 5 años."
19757,"* C291C29 estoy gorda?
– No, amor.
+ Dímelo en el oído.C29
– Amor, no estás gorda.
+ Dímelo en el otro oído.
– Coño, me vas a poner a dar tooodaaa esa vuelta?",1,1,0,0,1,2.4,"* C291C29 ¿Estoy gordo?
- Sin amor.
+ Dime en el oído. C29
- Amor, no eres gordo.
+ Dime en el otro oído.
- Pussy, ¿me vas a dar toodaaa para regresar?"
19767,"MENTION - ¿Esa cosa gorda y negra es la mascota del equipo?
- No, es Fabra.",1,0,0,1,1,2.7,"Mención: ¿Es esa cosa gorda y negra la mascota de la mascota?
- No, es Fabra."
41950,tetas de gorda no valen,1,1,0,0,1,2.1,Las tetas de Gorda no valen
35117,"MENTION Hay quien ve dos tetas gordas, o solo soy yo?",1,1,0,0,1,2.4,"Hay quienes ven dos tetas gordas, ¿o solo soy yo?"
42986,"—Mijo, ¿tan grande y todavía sigues viendo a Peppa la cerda?

—¡MAMÁ ESTOY HABLANDO CON MI NOVIA POR SKYPE!

—JAJA DILE QUE SALTE EN EL LODO",1,1,0,0,1,3.2,"""¿Mi mucho, tan grande y todavía ves a Peppa la cerda?""

""¡Estoy hablando con mi novia para Skype!""

""Haja dile que salte al barro"
61341,"Todas las gordas tienen algo hermoso , generalmente es una prima.       HASHTAG   HASHTAG  ",1,1,0,0,1,2.0,"Todas las personas gordas tienen algo hermoso, generalmente es un primo. Hashtag hashtag"
65148,"—Amor, ¿estoy gorda? — Cómo dices eso mi Buda, perdón, mi vida.",1,1,0,0,1,2.2,"""Amor, ¿estoy gordo?"" - ¿Cómo se dice que mi Buda, lo siento, mi vida?"
61854,"Era  tan gorda q se sacó una foto y decía CONTINUARÁ
By MENTION",1,1,0,0,1,2.2,"Fue tan gordo que se tomó una foto y dijo que continuará
Mención"
48794,—¿Eres ganadero? —No. —¿Y qué haces con esa vaca? —¡Papá! deja a mi novia en paz. —JAJAJÁ que nos deje un litro de leche o se va. —¡Ya :( !,1,1,0,0,1,2.3,"""¿Eres ganado?"" -No. ""¿Qué haces con esa vaca?"" -¡Papá! Deja a mi novia sola. ""Jaja que nos deja un litro de leche u hojas"". -Ya :( !"
49122,"Si eres gorda y no tienes tetas, debes ser consciente de que tu existencia es un error.",1,1,0,0,1,3.9,"Si está gordo y no tiene tetas, debe ser consciente de que su existencia es un error."
43518,"—Amor, ¿Estoy gorda? —No, tienes el cuerpo común. —¿Común? —Sí, común balón pinche gorda, ¡MÉTETE AL GIMNASIO!",1,1,0,0,1,3.1,"""Amor, ¿estoy gordo?"" ""No, tienes el cuerpo común"". -¿Común? ""Sí, una pelota de clic brillante común, ¡ingresa al gimnasio!"""
49895,"-Amor estoy gorda? -mm a ver rueda para acá, mm rueda para allá... No amor esta bien  x D  ",1,1,0,0,1,2.0,"-Al que estoy gordo? -Mm para ver la rueda aquí, mm rueda allá ... no me encanta bien x D"
42924,-¡Policía! Dos chicas se están peleando por mí -¿Y cuál es el problema? -Es que va ganando la gorda!,1,1,0,0,1,3.3,"-¡Policía! Dos chicas están luchando por mí, ¿y cuál es el problema? -Es que el hombre gordo está ganando!"
50035,"—Mamá, en la escuela me dijeron gorda. —No les hagas caso y mejor ya duérmete. MARRANA será otro día. —¡MAMÁAA! —¡Jajajajá!.",1,1,0,0,1,2.4,"""Mamá, en la escuela me dijeron gordo"". ""No los escuches y mejor dormir"". Marrana será otro día. ""¡Mamaaa!"" -¡Jajaja!."
43579,-Mi gorda mujer consultó con un célebre dietólogo -¿Y cuanto ha perdido? -En tres meses que lleva... cien mil pesos!  fb,1,1,0,0,1,2.9,"-Mi mujer gorda consultó con un dietólogo famoso. ""¿Y cuánto has perdido? En tres meses ha sido ... ¡cien mil pesos! FB"
51371,"—Amor soñé horrible, todos me decían gorda y tragona.
—Tranquila mi amor, sólo es una pesadilla.
—¿Una Quesadilla?, ¿dónde, dónde? HASHTAG  ",1,1,0,0,1,1.4,"""Me encantó horrible, todos me dijeron gordo y trago"".
""Mi amor viene, es solo una pesadilla"".
""¿Una quesadilla? ¿Dónde, dónde?"" Hashtag"
43729,"HASHTAG   Uy mi amor, estás como pollo frito — ¿Sabrosa? — No, llena de grasa, GORDA. HASHTAG   RT",1,1,0,0,1,3.3,"Hashtag uy mi amor, eres como el pollo frito, ¿sabroso? - No, lleno de grasa, grasa. Hashtag rt"
51991,"— Dime la verdad ¿tienes otra?
—No.
— ¿enserio que no?
—Que no gorda HP ya no hay mas empanadas. ya se comió 10, no joda!
HASHTAG  ",1,1,0,0,1,2.3,"- Dime la verdad, ¿tienes otra?
-No.
- ¿Eres realmente?
""Que no hay gordo HP allí no hay más empanadas"". ¡Ya comió 10, no se folla!
Hashtag"
